Id,Subject,Number of questions
01,high_school_history,200
02,elementary_science,200
03,middle_school_history,200
04,elementary_mathematics,200
05,operating_system,200
06,macroeconomics,200
07,microeconomics,200
08,high_school_biology,200
09,criminal_law,200
10,middle_school_physics,200
11,civil_law,197
12,revolutionary_policy_of_the_vietnamese_commununist_part,200
13,education_law,179
14,middle_school_literature,200
15,introduction_to_vietnam_culture,200
16,business_law,200
17,administrative_law,193
18,middle_school_civil_education,192
19,preschool_pedagogy,92
20,economic_law,151
21,idealogical_and_moral_cultivation,200
22,elementary_history,197
23,middle_school_geography,185
24,sociology,194
25,middle_school_biology,185
27,high_school_chemistry,193
28,high_school_physics,187
29,high_school_civil_education,196
30,high_school_geography,178
31,high_school_literature,194
32,vietnamese_language_and_literature,195
33,applied_informatics,185
34,history_of_world_civilization,192
35,introduction_to_laws,192
36,principles_of_marxism_and_leninism,200
37,ho_chi_minh_ideology,194
38,logic,176
39,driving_license_certificate,191
40,tax_civil_servant,187
41,civil_servant,196
42,introduction_to_chemistry,191
43,introduction_to_physics,195
44,introduction_to_programming,200
45,computer_architecture,200
46,computer_network,195
47,electrical_engineering,192
48,clinical_pharmacology,193
49,internal_basic_medicine,197
50,tax_accountant,195
51,accountant,189
52,environmental_engineering,188
53,metrology_engineer,194
54,business_administration,144
55,labor_law,47
56,tax_law,48
57,middle_school_chemistry,191
58,high_school_mathematics,162
59,middle_school_mathematics,109
60,discrete_mathematics,151
61,statistics_and_probability,171
